latitude,longitude,occurrenceDate
10.4288,-84.0128,2010-10-17T22:00:00.000+0000
10.46891,-84.0976,2010-10-27T22:00:00.000+0000
10.68636,-84.20616,2010-10-17T22:00:00.000+0000
10.56026,-83.51695,2010-10-02T22:00:00.000+0000
10.4288,-84.0128,2010-10-25T22:00:00.000+0000
10.35694,-84.78972,2010-10-09T22:00:00.000+0000
10.46446,-84.09334,2010-10-24T22:00:00.000+0000
10.4288,-84.0128,2010-10-19T22:00:00.000+0000
10.4288,-84.0128,2010-10-22T22:00:00.000+0000
10.4288,-84.0128,2010-10-18T22:00:00.000+0000
10.46446,-84.09334,2010-10-21T22:00:00.000+0000
10.4288,-84.0128,2010-10-16T22:00:00.000+0000
10.4288,-84.0128,2010-10-13T22:00:00.000+0000
10.4288,-84.0128,2010-10-21T22:00:00.000+0000
10.68636,-84.20616,2010-10-06T22:00:00.000+0000
10.56026,-83.51695,2010-10-02T22:00:00.000+0000
10.4288,-84.0128,2010-10-26T22:00:00.000+0000
10.4288,-84.0128,2010-11-05T23:00:00.000+0000
10.4288,-84.0128,2010-11-07T23:00:00.000+0000
10.4288,-84.0128,2010-11-03T23:00:00.000+0000
10.4288,-84.0128,2010-11-05T23:00:00.000+0000
10.20354,-83.83981,2010-11-11T23:00:00.000+0000
10.4288,-84.0128,2010-11-07T23:00:00.000+0000
10.4288,-84.0128,2010-11-21T23:00:00.000+0000
10.52747,-83.51151,2010-12-15T23:00:00.000+0000
10.4288,-84.0128,2010-12-17T23:00:00.000+0000
10.52747,-83.51151,2010-12-15T23:00:00.000+0000
10.4288,-84.0128,2010-12-15T23:00:00.000+0000
10.68636,-84.20616,2010-12-03T23:00:00.000+0000
10.4288,-84.0128,2010-12-27T23:00:00.000+0000
10.45319,-84.01792,2009-01-01T23:00:00.000+0000
10.4341,-84.0022,2009-01-21T23:00:00.000+0000
10.4308,-84.0063,2009-01-22T23:00:00.000+0000
10.4308,-84.0063,2009-01-24T23:00:00.000+0000
10.4308,-84.0063,2009-01-23T23:00:00.000+0000
10.4157,-84.1209,2009-01-11T23:00:00.000+0000
10.4341,-84.0022,2009-01-10T23:00:00.000+0000
10.4288,-84.0128,2009-01-09T23:00:00.000+0000
10.4288,-84.0128,2009-02-20T23:00:00.000+0000
10.4288,-84.0128,2009-02-18T23:00:00.000+0000
10.4288,-84.0128,2009-02-16T23:00:00.000+0000
10.4288,-84.0128,2009-02-22T23:00:00.000+0000
10.4288,-84.0128,2009-02-22T23:00:00.000+0000
10.4288,-84.0128,2009-02-16T23:00:00.000+0000
10.4288,-84.0128,2009-02-13T23:00:00.000+0000
10.4288,-84.0128,2009-02-24T23:00:00.000+0000
10.4288,-84.0128,2009-02-24T23:00:00.000+0000
10.4288,-84.0128,2009-02-13T23:00:00.000+0000
10.4288,-84.0128,2009-02-13T23:00:00.000+0000
10.4288,-84.0128,2009-02-18T23:00:00.000+0000
10.4288,-84.0128,2009-02-14T23:00:00.000+0000
10.4288,-84.0128,2009-02-14T23:00:00.000+0000
10.4288,-84.0128,2009-02-18T23:00:00.000+0000
10.4288,-84.0128,2009-02-22T23:00:00.000+0000
10.4288,-84.0128,2009-02-16T23:00:00.000+0000
10.4288,-84.0128,2009-02-15T23:00:00.000+0000
10.4288,-84.0128,2009-02-15T23:00:00.000+0000
10.4288,-84.0128,2009-02-22T23:00:00.000+0000
10.4288,-84.0128,2009-02-14T23:00:00.000+0000
10.4502,-84.0677,2009-02-11T23:00:00.000+0000
10.4288,-84.0128,2009-02-15T23:00:00.000+0000
10.4288,-84.0128,2009-02-12T23:00:00.000+0000
10.4288,-84.0128,2009-02-18T23:00:00.000+0000
10.4288,-84.0128,2009-02-14T23:00:00.000+0000
10.4288,-84.0128,2009-02-17T23:00:00.000+0000
10.4288,-84.0128,2009-02-15T23:00:00.000+0000
10.4288,-84.0128,2009-02-27T23:00:00.000+0000
10.4288,-84.0128,2009-02-16T23:00:00.000+0000
10.28173,-84.04489,2009-02-22T23:00:00.000+0000
10.4288,-84.0128,2009-02-20T23:00:00.000+0000
10.4288,-84.0128,2009-02-26T23:00:00.000+0000
10.4288,-84.0128,2009-02-27T23:00:00.000+0000
10.4288,-84.0128,2009-02-12T23:00:00.000+0000
10.4288,-84.0128,2009-02-20T23:00:00.000+0000
10.4288,-84.0128,2009-03-21T23:00:00.000+0000
10.4308,-84.0063,2009-03-24T23:00:00.000+0000
10.4288,-84.0128,2009-03-06T23:00:00.000+0000
10.4288,-84.0128,2009-03-17T23:00:00.000+0000
10.57316,-84.03556,2009-03-25T23:00:00.000+0000
10.4288,-84.0128,2009-03-06T23:00:00.000+0000
10.4288,-84.0128,2009-03-06T23:00:00.000+0000
